"RecordID","SalesOrderID","SalesOrderDetailID","RevisionNumber","OrderDate","DueDate","ShipDate","Status","OnlineOrderFlag","SalesOrderNumber","PurchaseOrderNumber","AccountNumber","CustomerID","ShipToAddressID","BillToAddressID","CreditCardApprovalCode","ShipMethod","SalesOrderID1","ProductID","OrderQty","UnitPrice","UnitPriceDiscount","LineTotal","Header_Modified_Date","Detail_Modified_Date","LineTaxAmount","LineFreight","createDate"
"11","71782","110677","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","870","6","2.9940","0.0000","17.964000","2008-06-08 00:00:00","2008-06-01 00:00:00","1.44","0.45","2023-02-12 23:08:02"
"12","71782","110678","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","978","1","445.4100","0.0000","445.410000","2008-06-08 00:00:00","2008-06-01 00:00:00","35.63","11.14","2023-02-12 23:08:02"
"13","71782","110679","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","955","1","1430.4420","0.0000","1430.442000","2008-06-08 00:00:00","2008-06-01 00:00:00","114.44","35.76","2023-02-12 23:08:02"
"14","71782","110680","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","948","1","63.9000","0.0000","63.900000","2008-06-08 00:00:00","2008-06-01 00:00:00","5.11","1.60","2023-02-12 23:08:02"
"15","71782","110681","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","994","1","32.3940","0.0000","32.394000","2008-06-08 00:00:00","2008-06-01 00:00:00","2.59","0.81","2023-02-12 23:08:02"
"16","71782","110682","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","970","1","728.9100","0.0000","728.910000","2008-06-08 00:00:00","2008-06-01 00:00:00","58.31","18.22","2023-02-12 23:08:02"
"17","71782","110683","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","966","2","1430.4420","0.0000","2860.884000","2008-06-08 00:00:00","2008-06-01 00:00:00","228.87","71.52","2023-02-12 23:08:02"
"18","71782","110684","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","884","4","32.3940","0.0000","129.576000","2008-06-08 00:00:00","2008-06-01 00:00:00","10.37","3.24","2023-02-12 23:08:02"
"19","71782","110685","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","885","2","602.3460","0.0000","1204.692000","2008-06-08 00:00:00","2008-06-01 00:00:00","96.38","30.12","2023-02-12 23:08:02"
"20","71782","110686","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","715","8","29.9940","0.0000","239.952000","2008-06-08 00:00:00","2008-06-01 00:00:00","19.20","6.00","2023-02-12 23:08:02"
"21","71782","110687","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","894","3","72.8760","0.0000","218.628000","2008-06-08 00:00:00","2008-06-01 00:00:00","17.49","5.47","2023-02-12 23:08:02"
"22","71782","110688","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","957","1","1430.4420","0.0000","1430.442000","2008-06-08 00:00:00","2008-06-01 00:00:00","114.44","35.76","2023-02-12 23:08:02"
"23","71782","110689","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","967","2","1430.4420","0.0000","2860.884000","2008-06-08 00:00:00","2008-06-01 00:00:00","228.87","71.52","2023-02-12 23:08:02"
"24","71782","110690","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","708","7","20.9940","0.0000","146.958000","2008-06-08 00:00:00","2008-06-01 00:00:00","11.76","3.67","2023-02-12 23:08:02"
"25","71782","110691","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","961","3","445.4100","0.0000","1336.230000","2008-06-08 00:00:00","2008-06-01 00:00:00","106.90","33.41","2023-02-12 23:08:02"
"26","71782","110692","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","979","2","445.4100","0.0000","890.820000","2008-06-08 00:00:00","2008-06-01 00:00:00","71.27","22.27","2023-02-12 23:08:02"
"27","71782","110693","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","958","2","445.4100","0.0000","890.820000","2008-06-08 00:00:00","2008-06-01 00:00:00","71.27","22.27","2023-02-12 23:08:02"
"28","71782","110694","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","963","1","445.4100","0.0000","445.410000","2008-06-08 00:00:00","2008-06-01 00:00:00","35.63","11.14","2023-02-12 23:08:02"
"29","71782","110695","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","953","1","728.9100","0.0000","728.910000","2008-06-08 00:00:00","2008-06-01 00:00:00","58.31","18.22","2023-02-12 23:08:02"
"30","71782","110696","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","968","2","1430.4420","0.0000","2860.884000","2008-06-08 00:00:00","2008-06-01 00:00:00","228.87","71.52","2023-02-12 23:08:02"
"31","71782","110697","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","951","2","242.9940","0.0000","485.988000","2008-06-08 00:00:00","2008-06-01 00:00:00","38.88","12.15","2023-02-12 23:08:02"
"32","71782","110698","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","945","2","54.8940","0.0000","109.788000","2008-06-08 00:00:00","2008-06-01 00:00:00","8.78","2.74","2023-02-12 23:08:02"
"33","71782","110699","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","916","1","31.5840","0.0000","31.584000","2008-06-08 00:00:00","2008-06-01 00:00:00","2.53","0.79","2023-02-12 23:08:02"
"34","71782","110700","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","886","1","200.0520","0.0000","200.052000","2008-06-08 00:00:00","2008-06-01 00:00:00","16.00","5.00","2023-02-12 23:08:02"
"35","71782","110701","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","892","1","602.3460","0.0000","602.346000","2008-06-08 00:00:00","2008-06-01 00:00:00","48.19","15.06","2023-02-12 23:08:02"
"36","71782","110702","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","893","1","602.3460","0.0000","602.346000","2008-06-08 00:00:00","2008-06-01 00:00:00","48.19","15.06","2023-02-12 23:08:02"
"37","71782","110703","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","881","6","32.3940","0.0000","194.364000","2008-06-08 00:00:00","2008-06-01 00:00:00","15.55","4.86","2023-02-12 23:08:02"
"38","71782","110704","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","883","4","32.3940","0.0000","129.576000","2008-06-08 00:00:00","2008-06-01 00:00:00","10.37","3.24","2023-02-12 23:08:02"
"39","71782","110705","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","859","1","14.6940","0.0000","14.694000","2008-06-08 00:00:00","2008-06-01 00:00:00","1.18","0.37","2023-02-12 23:08:02"
"40","71782","110706","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","865","4","38.1000","0.0000","152.400000","2008-06-08 00:00:00","2008-06-01 00:00:00","12.19","3.81","2023-02-12 23:08:02"
"41","71782","110707","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","880","9","32.9940","0.0000","296.946000","2008-06-08 00:00:00","2008-06-01 00:00:00","23.76","7.42","2023-02-12 23:08:02"
"42","71782","110708","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","711","6","20.9940","0.0000","125.964000","2008-06-08 00:00:00","2008-06-01 00:00:00","10.08","3.15","2023-02-12 23:08:02"
"43","71782","110709","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71782","PO19372114749","10-4020-000582","29485","1086","1086",,"CARGO TRANSPORT 5","71782","707","3","20.9940","0.0000","62.982000","2008-06-08 00:00:00","2008-06-01 00:00:00","5.04","1.57","2023-02-12 23:08:02"
"44","71774","110562","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71774","PO348186287","10-4020-000609","29847","1092","1092",,"CARGO TRANSPORT 5","71774","836","1","356.8980","0.0000","356.898000","2008-06-08 00:00:00","2008-06-01 00:00:00","28.55","8.92","2023-02-12 23:08:02"
"45","71774","110563","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71774","PO348186287","10-4020-000609","29847","1092","1092",,"CARGO TRANSPORT 5","71774","822","1","356.8980","0.0000","356.898000","2008-06-08 00:00:00","2008-06-01 00:00:00","28.55","8.92","2023-02-12 23:08:02"
"46","71936","113225","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","944","3","158.4300","0.0000","475.290000","2008-06-08 00:00:00","2008-06-01 00:00:00","38.02","11.88","2023-02-12 23:08:02"
"47","71936","113226","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","985","4","112.9980","0.4000","271.195200","2008-06-08 00:00:00","2008-06-01 00:00:00","21.70","6.78","2023-02-12 23:08:02"
"48","71936","113227","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","996","4","72.8940","0.0000","291.576000","2008-06-08 00:00:00","2008-06-01 00:00:00","23.33","7.29","2023-02-12 23:08:02"
"49","71936","113228","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","707","1","20.9940","0.0000","20.994000","2008-06-08 00:00:00","2008-06-01 00:00:00","1.68","0.52","2023-02-12 23:08:02"
"50","71936","113229","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","926","1","149.8740","0.0000","149.874000","2008-06-08 00:00:00","2008-06-01 00:00:00","11.99","3.75","2023-02-12 23:08:02"
"51","71936","113230","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","808","4","26.7240","0.0000","106.896000","2008-06-08 00:00:00","2008-06-01 00:00:00","8.55","2.67","2023-02-12 23:08:02"
"52","71936","113231","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","992","5","323.9940","0.0000","1619.970000","2008-06-08 00:00:00","2008-06-01 00:00:00","129.60","40.50","2023-02-12 23:08:02"
"53","71936","113232","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","951","6","242.9940","0.0000","1457.964000","2008-06-08 00:00:00","2008-06-01 00:00:00","116.64","36.45","2023-02-12 23:08:02"
"54","71936","113233","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","780","3","1391.9940","0.0000","4175.982000","2008-06-08 00:00:00","2008-06-01 00:00:00","334.08","104.40","2023-02-12 23:08:02"
"55","71936","113234","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","905","2","218.4540","0.0000","436.908000","2008-06-08 00:00:00","2008-06-01 00:00:00","34.95","10.92","2023-02-12 23:08:02"
"56","71936","113235","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","747","4","809.7600","0.0000","3239.040000","2008-06-08 00:00:00","2008-06-01 00:00:00","259.12","80.98","2023-02-12 23:08:02"
"57","71936","113236","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","867","14","40.5942","0.0200","556.952424","2008-06-08 00:00:00","2008-06-01 00:00:00","44.56","13.92","2023-02-12 23:08:02"
"58","71936","113237","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","935","3","24.2940","0.0000","72.882000","2008-06-08 00:00:00","2008-06-01 00:00:00","5.83","1.82","2023-02-12 23:08:02"
"59","71936","113238","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","945","5","54.8940","0.0000","274.470000","2008-06-08 00:00:00","2008-06-01 00:00:00","21.96","6.86","2023-02-12 23:08:02"
"60","71936","113239","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","924","5","149.8740","0.0000","749.370000","2008-06-08 00:00:00","2008-06-01 00:00:00","59.95","18.73","2023-02-12 23:08:02"
"61","71936","113240","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","783","10","1376.9940","0.0000","13769.940000","2008-06-08 00:00:00","2008-06-01 00:00:00","1101.60","344.25","2023-02-12 23:08:02"
"62","71936","113241","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","784","5","1376.9940","0.0000","6884.970000","2008-06-08 00:00:00","2008-06-01 00:00:00","550.80","172.12","2023-02-12 23:08:02"
"63","71936","113242","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","748","5","818.7000","0.0000","4093.500000","2008-06-08 00:00:00","2008-06-01 00:00:00","327.48","102.34","2023-02-12 23:08:02"
"64","71936","113243","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","981","2","461.6940","0.0000","923.388000","2008-06-08 00:00:00","2008-06-01 00:00:00","73.87","23.08","2023-02-12 23:08:02"
"65","71936","113244","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","894","5","72.8760","0.0000","364.380000","2008-06-08 00:00:00","2008-06-01 00:00:00","29.15","9.11","2023-02-12 23:08:02"
"66","71936","113245","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","779","4","1391.9940","0.0000","5567.976000","2008-06-08 00:00:00","2008-06-01 00:00:00","445.44","139.20","2023-02-12 23:08:02"
"67","71936","113246","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","782","8","1376.9940","0.0000","11015.952000","2008-06-08 00:00:00","2008-06-01 00:00:00","881.28","275.40","2023-02-12 23:08:02"
"68","71936","113247","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","869","8","41.9940","0.0000","335.952000","2008-06-08 00:00:00","2008-06-01 00:00:00","26.88","8.40","2023-02-12 23:08:02"
"69","71936","113248","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","952","3","12.1440","0.0000","36.432000","2008-06-08 00:00:00","2008-06-01 00:00:00","2.91","0.91","2023-02-12 23:08:02"
"70","71936","113249","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","949","3","105.2940","0.0000","315.882000","2008-06-08 00:00:00","2008-06-01 00:00:00","25.27","7.90","2023-02-12 23:08:02"
"71","71936","113250","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","937","5","48.5940","0.0000","242.970000","2008-06-08 00:00:00","2008-06-01 00:00:00","19.44","6.07","2023-02-12 23:08:02"
"72","71936","113251","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","910","3","31.5840","0.0000","94.752000","2008-06-08 00:00:00","2008-06-01 00:00:00","7.58","2.37","2023-02-12 23:08:02"
"73","71936","113252","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","917","2","158.4300","0.0000","316.860000","2008-06-08 00:00:00","2008-06-01 00:00:00","25.35","7.92","2023-02-12 23:08:02"
"74","71936","113253","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","994","3","32.3940","0.0000","97.182000","2008-06-08 00:00:00","2008-06-01 00:00:00","7.77","2.43","2023-02-12 23:08:02"
"75","71936","113254","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","984","1","112.9980","0.4000","67.798800","2008-06-08 00:00:00","2008-06-01 00:00:00","5.42","1.69","2023-02-12 23:08:02"
"76","71936","113255","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","860","6","14.6940","0.0000","88.164000","2008-06-08 00:00:00","2008-06-01 00:00:00","7.05","2.20","2023-02-12 23:08:02"
"77","71936","113256","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","948","4","63.9000","0.0000","255.600000","2008-06-08 00:00:00","2008-06-01 00:00:00","20.45","6.39","2023-02-12 23:08:02"
"78","71936","113257","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","925","6","149.8740","0.0000","899.244000","2008-06-08 00:00:00","2008-06-01 00:00:00","71.94","22.48","2023-02-12 23:08:02"
"79","71936","113258","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","908","3","16.2720","0.0000","48.816000","2008-06-08 00:00:00","2008-06-01 00:00:00","3.91","1.22","2023-02-12 23:08:02"
"80","71936","113259","2","2008-06-01 00:00:00","2008-06-13 00:00:00","2008-06-08 00:00:00","5","False","SO71936","PO8671170385","10-4020-000502","30050","662","662",,"CARGO TRANSPORT 5","71936","918","1","158.4300","0.0000","158.430000","2008-06-08 00:00:00","2008-06-01 00:00:00","12.67","3.96","2023-02-12 23:08:02"
